zip,lat,lon,state,city
02284,42.3389,-70.9196,MA,Boston
02293,42.3389,-70.9196,MA,Boston
02295,42.3389,-70.9196,MA,Boston
02297,42.3389,-70.9196,MA,Boston
02298,42.3800,-71.0300,MA,Boston
02301,42.0794,-71.0400,MA,Brockton
02302,42.0847,-71.0002,MA,Brockton
02303,41.9705,-70.7014,MA,Brockton
02304,41.9705,-70.7014,MA,Brockton
02305,41.9705,-70.7014,MA,Brockton
02322,42.1260,-71.0482,MA,Avon
02324,41.9737,-70.9766,MA,Bridgewater
02325,41.9873,-70.9728,MA,Bridgewater
02327,42.0407,-70.8272,MA,Bryantville
02330,41.8962,-70.7597,MA,Carver
02331,41.9705,-70.7014,MA,Duxbury
02332,42.0530,-70.7108,MA,Duxbury
02333,42.0228,-70.9311,MA,East Bridgewater
02334,42.0235,-71.1324,MA,Easton
02337,42.0222,-70.9316,MA,Elmwood
02338,41.9884,-70.8606,MA,Halifax
02339,42.1235,-70.8510,MA,Hanover
02340,42.1235,-70.8510,MA,Hanover
02341,42.0557,-70.8759,MA,Hanson
02343,42.1444,-71.0029,MA,Holbrook
02344,41.9705,-70.7014,MA,Middleboro
02345,41.8882,-70.5810,MA,Manomet
02346,41.9151,-70.8820,MA,Middleboro
02347,41.8438,-70.9600,MA,Lakeville
02348,41.9705,-70.7014,MA,Middleboro
02349,41.9705,-70.7014,MA,Middleboro
02350,42.0185,-70.8475,MA,Monponsett
02351,42.1175,-70.9599,MA,Abington
02355,41.9169,-70.8013,MA,North Carver
02356,42.0534,-71.1203,MA,North Easton
02357,42.0645,-71.0871,MA,North Easton
02358,41.9535,-70.7131,MA,North Pembroke
02359,42.0657,-70.8008,MA,Pembroke
02360,41.8862,-70.6387,MA,Plymouth
02361,41.9705,-70.7014,MA,Plymouth
02362,41.9705,-70.7014,MA,Plymouth
02364,41.9794,-70.7448,MA,Kingston
02366,41.8501,-70.7044,MA,South Carver
02367,41.9691,-70.8123,MA,Plympton
02368,42.1715,-71.0556,MA,Randolph
02370,41.9542,-70.8851,MA,Rockland
02375,42.0232,-71.1111,MA,South Easton
02379,42.0217,-71.0236,MA,West Bridgewater
02381,41.9316,-70.5611,MA,White Horse Beach
02382,42.0785,-70.9408,MA,Whitman
02420,42.4563,-71.2167,MA,Lexington
02421,42.4426,-71.2265,MA,Lexington
02445,42.3181,-71.1437,MA,Brookline
02446,42.3431,-71.1230,MA,Brookline
02447,42.1800,-71.0892,MA,Brookline Village
02451,42.3986,-71.2451,MA,Waltham
02452,42.3943,-71.2180,MA,Waltham
02453,42.3654,-71.2317,MA,Waltham
02454,42.3567,-71.2505,MA,Waltham
02455,42.3500,-71.0600,MA,North Waltham
02456,42.4464,-71.4594,MA,New Town
02457,42.1800,-71.0892,MA,Babson Park
02458,42.3851,-71.2084,MA,Newton
02459,42.3341,-71.1833,MA,Newton Center
02460,42.3743,-71.1824,MA,Newtonville
02461,42.3612,-71.2053,MA,Newton Highlands
02462,42.3495,-71.2097,MA,Newton Lower Falls
02464,42.3660,-71.2218,MA,Newton Upper Falls
02465,42.3781,-71.2132,MA,West Newton
02466,42.3467,-71.2250,MA,Auburndale
02467,42.3576,-71.2116,MA,Chestnut Hill
02468,42.3271,-71.2315,MA,Waban
02471,42.4464,-71.4594,MA,Watertown
02472,42.3631,-71.2014,MA,Watertown
02474,42.4176,-71.1597,MA,Arlington
02475,42.4464,-71.4594,MA,Arlington Heights
02476,42.3791,-71.1843,MA,Arlington
02477,42.4464,-71.4594,MA,Watertown
02478,42.4128,-71.2044,MA,Belmont
02479,42.4464,-71.4594,MA,Waverley
02481,42.3106,-71.2747,MA,Wellesley Hills
02482,42.2945,-71.2992,MA,Wellesley
02492,42.2798,-71.2501,MA,Needham
02493,42.3759,-71.2272,MA,Weston
02494,42.3001,-71.2631,MA,Needham Heights
02495,42.4464,-71.4594,MA,Nonantum
02532,41.7455,-70.5905,MA,Buzzards Bay
02534,41.6694,-70.6234,MA,Cataumet
02535,41.3790,-70.6731,MA,Chilmark
02536,41.6625,-70.5628,MA,East Falmouth
02537,41.7283,-70.4400,MA,East Sandwich
02538,41.7754,-70.6606,MA,East Wareham
02539,41.4012,-70.5521,MA,Edgartown
02540,41.6142,-70.4933,MA,Falmouth
02541,41.7993,-70.3087,MA,Falmouth
02542,41.6531,-70.5537,MA,Buzzards Bay
02543,41.5938,-70.6464,MA,Woods Hole
02552,41.3798,-70.6431,MA,Menemsha
02553,41.6734,-70.6080,MA,Monument Beach
02554,41.2876,-70.0867,MA,Nantucket
02556,41.6530,-70.3755,MA,North Falmouth
02557,41.4174,-70.5600,MA,Oak Bluffs
02558,41.7476,-70.6582,MA,Onset
02559,41.6948,-70.6228,MA,Pocasset
02561,41.7703,-70.5337,MA,Sagamore
